id,store,promo,region,promodate,active
115562959531,860548,176321,243820,2013-03-25,0.0
175261390705,625933,37568,191747,2013-03-15,0.0
273751574633,527828,209524,165933,2013-03-23,1.0
166923268906,1056730,214816,5506,2013-03-20,0.0
135410903443,241369,176321,278897,2013-03-25,0.0
86374022367,740794,176321,203586,2013-03-28,1.0
113936671308,946941,176321,180548,2013-03-26,0.0
149221024912,625933,37568,191747,2013-03-14,0.0
196022440692,625933,108252,191747,2013-03-14,0.0
234453377680,625933,37568,191747,2013-03-13,0.0
279007058126,336893,17125,157815,2013-03-26,0.0
22547995813,527828,209524,165933,2013-03-01,1.0
23063126747,1149609,176321,42773,2013-03-26,0.0
78477950256,876095,108252,323706,2013-03-18,0.0
145640535386,252336,176321,191747,2013-03-26,1.0
139004895365,876095,214816,323706,2013-03-15,0.0
19140113038,527828,176321,165933,2013-03-27,0.0
207499271332,285434,37568,36431,2013-03-24,1.0
51661979187,946941,69839,180548,2013-03-25,0.0
6576963202,625933,37568,191747,2013-03-14,0.0
156020460159,285434,176321,36431,2013-03-30,0.0
103869952109,252336,176321,191747,2013-03-25,0.0
275786149266,625933,176321,191747,2013-03-30,0.0
224540508578,276400,176321,276730,2013-03-30,1.0
274468449272,402755,37568,203586,2013-03-24,0.0
272009993017,946941,214816,180548,2013-03-15,1.0
109804109552,775321,176321,274861,2013-03-25,0.0
24628116351,876095,108252,323706,2013-03-16,0.0
279266743021,876095,17125,323706,2013-03-26,1.0
94030406809,476177,176321,293974,2013-03-28,0.0
281069185340,283586,176321,5506,2013-03-25,0.0
156924800111,876095,69839,323706,2013-03-25,1.0
187134796211,299747,176321,140529,2013-03-25,0.0
33479194806,485613,176321,132336,2013-03-29,0.0
208205858475,61430,176321,165933,2013-03-27,1.0
257431619839,445592,170791,67664,2013-03-30,1.0
262240752940,405412,170791,296095,2013-03-30,0.0
278783515168,422416,176321,42449,2013-03-30,0.0
193839771044,796385,97335,62416,2013-03-27,0.0
92808160933,625933,177412,191747,2013-03-26,0.0
147245807277,405412,37568,296095,2013-03-15,0.0
160636404696,476177,176321,293974,2013-03-27,0.0
264360381954,860548,176321,243820,2013-03-27,0.0
242080631156,1091944,176321,165933,2013-03-26,0.0
199483302729,946941,176321,180548,2013-03-25,0.0
2200606381,276400,97335,276730,2013-03-26,0.0
47698810469,934192,176321,167995,2013-03-25,0.0
14871860185,376928,209524,274861,2013-03-28,0.0
231396628944,117221,108252,7892,2013-03-25,0.0
247556547776,285434,108252,36431,2013-03-16,0.0
155378791958,860548,177412,243820,2013-03-25,0.0
123094412533,441373,37568,115119,2013-03-27,0.0
270380361578,527828,209524,165933,2013-03-01,1.0
261865953075,1027597,177412,206022,2013-03-25,0.0
237988547081,527828,209524,165933,2013-03-23,0.0
50731179974,485613,176321,132336,2013-03-27,1.0
125085295011,367489,176321,325318,2013-03-27,0.0
293351621649,1073890,176321,284893,2013-03-29,0.0
93459855767,241369,176321,278897,2013-03-31,1.0
196736981989,842061,209524,7892,2013-03-16,0.0
298575584589,625933,37568,191747,2013-03-15,0.0
78899478667,565318,176321,42449,2013-03-27,0.0
74814365081,441373,73739,115119,2013-03-26,0.0
20656539852,323749,176321,42449,2013-03-30,0.0
46913745124,625933,176321,191747,2013-03-25,0.0
72760764156,1020264,176321,278897,2013-03-29,1.0
212984526229,527828,209524,165933,2013-03-06,1.0
38503680164,262773,176321,180548,2013-03-26,0.0
277752004192,527828,209524,165933,2013-03-03,0.0
164661179410,441373,108252,115119,2013-03-13,0.0
262153819900,1073890,17125,284893,2013-03-27,0.0
6074139036,441373,37568,115119,2013-03-27,0.0
266992749901,842061,209524,7892,2013-03-01,1.0
123827325537,405412,108252,296095,2013-03-21,0.0
146248669727,150085,176321,278897,2013-03-28,0.0
207728134232,61430,176321,165933,2013-03-27,0.0
158846318903,625933,37568,191747,2013-03-23,0.0
136574637438,252336,176321,191747,2013-03-25,0.0
83167248003,129911,176321,115119,2013-03-29,0.0
248538799217,252336,176321,191747,2013-03-29,1.0
290170213145,625933,37568,191747,2013-03-14,0.0
156964633243,241369,214816,278897,2013-03-15,1.0
143922077198,441373,37568,115119,2013-03-14,0.0
209217925115,553974,176321,206022,2013-03-25,0.0
83739379024,625933,176321,191747,2013-03-28,0.0
141446738349,625933,37568,191747,2013-03-17,0.0
214025467096,946941,176321,180548,2013-03-29,0.0
57302300493,527828,209524,165933,2013-03-03,0.0
93664327316,1091944,176321,165933,2013-03-27,0.0
239114545301,625933,37568,191747,2013-03-28,0.0
52475597152,527828,209524,165933,2013-03-03,1.0
191271061009,89397,176321,48013,2013-03-28,0.0
271883627293,405412,176321,296095,2013-03-26,1.0
191485492024,672234,176321,276730,2013-03-25,0.0
10969494424,129911,177412,115119,2013-03-27,0.0
186746925732,625933,37568,191747,2013-03-16,0.0
66295717032,150085,176321,278897,2013-03-25,0.0
96796340250,860548,37568,243820,2013-03-17,0.0
84187350295,323749,209524,42449,2013-03-01,0.0
145498496511,367489,37568,325318,2013-03-13,0.0
206140337521,740794,176321,203586,2013-03-28,0.0
74852207097,1050704,177412,48013,2013-03-25,0.0
218248463848,129911,176321,115119,2013-03-28,1.0
102626671184,276400,176321,276730,2013-03-26,0.0
132685215998,625933,37568,191747,2013-03-15,0.0
10426457793,1050704,176321,48013,2013-03-26,0.0
4608242581,553974,176321,206022,2013-03-25,0.0
205909690657,740794,176321,203586,2013-03-30,0.0
120798902670,285434,176321,36431,2013-03-25,0.0
177537791883,1050704,176321,48013,2013-03-27,0.0
12476404887,1155220,176321,191747,2013-03-27,0.0
17470734086,61430,176321,165933,2013-03-25,0.0
135903312583,150085,176321,278897,2013-03-25,0.0
45270420792,740794,176321,203586,2013-03-30,0.0
127751636133,299747,176321,140529,2013-03-26,1.0
14751939095,527828,108252,165933,2013-03-19,0.0
38368293666,625933,176321,191747,2013-03-25,0.0
199012624022,190472,176321,284893,2013-03-27,1.0
221265527626,422416,176321,42449,2013-03-26,0.0
144467679751,1027597,73739,206022,2013-03-27,0.0
113210454285,625933,97335,191747,2013-03-25,1.0
124711878272,625933,65353,191747,2013-03-30,0.0
18203229633,625933,65353,191747,2013-03-30,0.0
70185766379,527828,209524,165933,2013-03-28,0.0
202820434853,740794,176321,203586,2013-03-26,0.0
109720057145,842061,209524,7892,2013-03-05,1.0
117287445337,887954,108252,36431,2013-03-16,0.0
52716336273,672234,176321,276730,2013-03-26,0.0
292684217982,441373,176321,115119,2013-03-27,0.0
177316005411,1091944,176321,165933,2013-03-25,1.0
241420527682,527828,176321,165933,2013-03-29,0.0
29466762604,241369,176321,278897,2013-03-26,1.0
198633227338,625933,176321,191747,2013-03-26,1.0
110675445536,241369,209524,278897,2013-03-02,1.0
83541836857,285434,108252,36431,2013-03-29,0.0
48239646615,625933,176321,191747,2013-03-27,0.0
289127008745,527828,209524,165933,2013-03-04,0.0
135038256231,625933,37568,191747,2013-03-27,0.0
109209837378,367489,176321,325318,2013-03-27,0.0
16336530252,299747,176321,140529,2013-03-25,0.0
133640198229,441373,97335,115119,2013-03-26,1.0
63450570703,1149609,176321,42773,2013-03-29,0.0
14024886870,876095,176321,323706,2013-03-25,0.0
170422390098,625933,177412,191747,2013-03-27,1.0
235407979373,485613,176321,132336,2013-03-25,0.0
163644533286,405412,176321,296095,2013-03-25,0.0
276147029555,527828,209524,165933,2013-03-03,1.0
35441929051,876095,176321,323706,2013-03-29,1.0
105257153113,150085,176321,278897,2013-03-26,0.0
250347772384,588961,97335,132336,2013-03-26,0.0
264709207298,553974,176321,206022,2013-03-25,1.0
108801029931,625933,176321,191747,2013-03-25,0.0
251748647512,276400,17125,276730,2013-03-26,0.0
87067227147,239062,176321,272856,2013-03-25,0.0
270373974618,876095,176321,323706,2013-03-25,0.0
250156720669,553974,176321,206022,2013-03-25,0.0
59315462830,625933,176321,191747,2013-03-28,0.0
202159722217,625933,37568,191747,2013-03-26,1.0
94720937157,241369,209524,278897,2013-03-01,1.0
12911763744,276400,17125,276730,2013-03-26,1.0
139048340619,672234,214816,276730,2013-03-15,0.0
214581490932,402755,177412,203586,2013-03-26,0.0
177584231302,168262,176321,36431,2013-03-25,1.0
77824342038,953436,170791,296095,2013-03-30,0.0
204704401829,61430,176321,165933,2013-03-29,0.0
234210292909,527828,209524,165933,2013-03-02,0.0
214009079874,96431,176321,157815,2013-03-29,0.0
185636003286,1050704,176321,48013,2013-03-28,1.0
36484071855,241369,176321,278897,2013-03-31,0.0
93328265286,405412,170791,296095,2013-03-30,0.0
157082319887,489461,176321,167995,2013-03-30,0.0
268521011752,465875,176321,42773,2013-03-26,0.0
68162655336,241369,209524,278897,2013-03-06,1.0
293392041443,323749,37568,42449,2013-03-15,0.0
14569816176,625933,37568,191747,2013-03-27,0.0
188005010935,117221,176321,7892,2013-03-28,0.0
235688640254,82449,176321,243820,2013-03-26,0.0
127891402537,625933,37568,191747,2013-03-14,0.0
70355278039,96431,176321,157815,2013-03-26,0.0
181663600984,82449,176321,243820,2013-03-25,0.0
152350697696,527828,209524,165933,2013-03-03,0.0
123219629583,672234,176321,276730,2013-03-26,1.0
